event_date,player,market,side,line,p_over,actual,selected_odds,selected_probability,corrected_edge,state_lcb,state_history_n,state_empirical_rate,robust_score,selector_version,eligible,rank,leg_result,control_selected,market_evidence,candidate_universe_evidence,production_authorizable
2025-12-23,Scottie Barnes,player_assists,OVER,3.8,0.7381088291343663,4.0,-110.0,0.7381088291343663,0.21429930532484243,0.7250920541781595,20,0.85,0.7300920541781595,ROBUST_STATE_INTERSECTION_Q25_V1,True,1,1.0,True,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False
2025-12-23,Bub Carrington,player_points,UNDER,17.6,0.2754815306975977,6.0,-110.0,0.7245184693024023,0.20070894549287843,0.7382344116978972,16,0.875,0.7245184693024023,ROBUST_STATE_INTERSECTION_Q25_V1,True,2,1.0,True,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False
2025-12-23,DayRon Sharpe,player_assists,UNDER,3.4,0.2775767834904706,6.0,-110.0,0.7224232165095295,0.19861369270000562,0.7382344116978972,16,0.875,0.7224232165095295,ROBUST_STATE_INTERSECTION_Q25_V1,True,3,0.0,True,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False
2025-12-23,Isaiah Collier,player_assists,UNDER,9.4,0.2848835877962029,9.0,-110.0,0.7151164122037972,0.19130688839427334,0.7254382498463098,10,0.9,0.7151164122037972,ROBUST_STATE_INTERSECTION_Q25_V1,True,4,1.0,True,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False
2025-12-23,Rudy Gobert,player_rebounds,UNDER,14.8,0.1977715343935175,16.0,-110.0,0.8022284656064825,0.2784189417969587,0.7119908722036166,19,0.8421052631578947,0.7119908722036166,ROBUST_STATE_INTERSECTION_Q25_V1,True,5,0.0,False,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False
2025-12-23,Donte DiVincenzo,player_points,UNDER,18.2,0.1996575418540291,11.0,-110.0,0.8003424581459709,0.2765329343364471,0.7119908722036166,19,0.8421052631578947,0.7119908722036166,ROBUST_STATE_INTERSECTION_Q25_V1,True,6,1.0,False,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False
2025-12-23,Tyler Kolek,player_rebounds,UNDER,3.2,0.2245834972880858,11.0,-110.0,0.7754165027119142,0.25160697890239037,0.705003347029916,14,0.8571428571428571,0.705003347029916,ROBUST_STATE_INTERSECTION_Q25_V1,True,7,0.0,False,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False
2025-12-23,Oso Ighodaro,player_rebounds,UNDER,7.0,0.2827886854041777,3.0,-110.0,0.7172113145958223,0.1934017907862985,0.6975890353250671,18,0.8333333333333334,0.6975890353250671,ROBUST_STATE_INTERSECTION_Q25_V1,True,8,1.0,False,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False
2025-12-23,Bruce Brown,player_rebounds,UNDER,6.6,0.3031938721818464,7.0,-110.0,0.6968061278181537,0.17299660400862982,0.7522075596534742,17,0.8823529411764706,0.6968061278181537,ROBUST_STATE_INTERSECTION_Q25_V1,True,9,0.0,False,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False
2025-12-23,Brice Sensabaugh,player_rebounds,UNDER,3.6,0.2194553443741526,1.0,-110.0,0.7805446556258474,0.25673513181632357,0.6816849920928987,17,0.8235294117647058,0.6816849920928987,ROBUST_STATE_INTERSECTION_Q25_V1,True,10,1.0,False,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False
2025-12-26,John Collins,player_assists,UNDER,2.2,0.2041682714792035,1.0,-110.0,0.7958317285207965,0.2720222047112727,0.8089439539953127,15,0.9333333333333333,0.7958317285207965,ROBUST_STATE_INTERSECTION_Q25_V1,True,1,1.0,True,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False
2025-12-26,Cam Spencer,player_assists,UNDER,8.4,0.218719248131991,5.0,-110.0,0.7812807518680089,0.2574712280584851,0.7647716653549496,18,0.8888888888888888,0.7647716653549496,ROBUST_STATE_INTERSECTION_Q25_V1,True,2,1.0,True,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False
2025-12-26,Tyus Jones,player_points,UNDER,7.2,0.2406404979738161,8.0,-110.0,0.7593595020261839,0.23554997821666002,0.7522075596534742,17,0.8823529411764706,0.7522075596534742,ROBUST_STATE_INTERSECTION_Q25_V1,True,3,0.0,True,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False
2025-12-26,Pelle Larsson,player_points,OVER,3.6,0.7258348150736321,21.0,-110.0,0.7258348150736321,0.2020252912641083,0.705003347029916,14,0.8571428571428571,0.710003347029916,ROBUST_STATE_INTERSECTION_Q25_V1,True,4,1.0,True,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False
2025-12-26,Sandro Mamukelashvili,player_points,UNDER,14.2,0.3058611947135767,13.0,-110.0,0.6941388052864232,0.1703292814768994,0.7250920541781595,20,0.85,0.6941388052864232,ROBUST_STATE_INTERSECTION_Q25_V1,True,5,1.0,False,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False
2025-12-26,Marvin Bagley III,player_points,UNDER,16.4,0.2709112677165965,6.0,-110.0,0.7290887322834034,0.2052792084738796,0.6850426027639305,13,0.8461538461538461,0.6850426027639305,ROBUST_STATE_INTERSECTION_Q25_V1,True,6,1.0,False,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False
2025-12-26,Lauri Markkanen,player_rebounds,UNDER,10.0,0.3235755392563719,4.0,-110.0,0.676424460743628,0.15261493693410422,0.7965509763253065,14,0.9285714285714286,0.676424460743628,ROBUST_STATE_INTERSECTION_Q25_V1,True,7,1.0,False,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False
2025-12-26,Duncan Robinson,player_rebounds,OVER,1.8,0.6690041138164499,4.0,-110.0,0.6690041138164499,0.14519459000692603,0.6975890353250671,18,0.8333333333333334,0.6740041138164499,ROBUST_STATE_INTERSECTION_Q25_V1,True,8,1.0,False,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False
2025-12-26,Bobby Portis,player_rebounds,UNDER,9.0,0.3034721407561054,12.0,-110.0,0.6965278592438946,0.17271833543437076,0.66726104574935,20,0.8,0.66726104574935,ROBUST_STATE_INTERSECTION_Q25_V1,True,9,0.0,False,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False
2025-12-26,Jay Huff,player_rebounds,UNDER,6.4,0.3292913304412431,4.0,-110.0,0.670708669558757,0.14689914574923313,0.66726104574935,20,0.8,0.66726104574935,ROBUST_STATE_INTERSECTION_Q25_V1,True,10,1.0,False,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False
2025-12-29,Nickeil Alexander-Walker,player_rebounds,OVER,1.6,0.7729127629112783,4.0,-110.0,0.7729127629112783,0.24910323910175447,0.7250920541781595,20,0.85,0.7300920541781595,ROBUST_STATE_INTERSECTION_Q25_V1,True,1,1.0,True,SYNTHETIC_THRESHOLD_HISTORY,FULL_CANDIDATE_UNIVERSE,False
