SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX,season,play_type,side
22024,1630696,Dru Smith,1610612748,MIA,Miami Heat,Isolation,Defensive,1.0,13,0.103,0.167,0.111,0.0,0.25,0.0,0.0,0.083,0.111,0.9,0.2,0.1,0.7,0.6,2025,Isolation,defensive
22024,1629659,Talen Horton-Tucker,1610612741,CHI,Chicago Bulls,Isolation,Defensive,0.997,50,0.055,0.267,0.091,0.067,0.2,0.067,0.0,0.133,0.091,0.3,0.1,0.0,0.2,0.2,2025,Isolation,defensive
22024,1628427,Vlatko Čančar,1610612743,DEN,Denver Nuggets,Isolation,Defensive,0.992,10,0.267,0.333,0.0,0.25,0.0,0.25,0.0,0.25,0.0,1.2,0.4,0.0,0.9,0.9,2025,Isolation,defensive
22024,1631221,Collin Gillespie,1610612756,PHX,Phoenix Suns,Isolation,Defensive,0.987,30,0.069,0.4,0.4,0.0,0.5,0.0,0.0,0.2,0.4,0.3,0.1,0.1,0.2,0.1,2025,Isolation,defensive
22024,203935,Marcus Smart,1610612763,MEM,Memphis Grizzlies,Isolation,Defensive,0.979,18,0.078,0.5,0.125,0.2,0.1,0.2,0.1,0.2,0.125,0.6,0.3,0.1,0.4,0.4,2025,Isolation,defensive
22024,203901,Elfrid Payton,1610612740,NOP,New Orleans Pelicans,Isolation,Defensive,0.979,18,0.084,0.5,0.25,0.1,0.1,0.1,0.0,0.3,0.25,0.6,0.3,0.1,0.4,0.3,2025,Isolation,defensive
22024,1627763,Malcolm Brogdon,1610612764,WAS,Washington Wizards,Isolation,Defensive,0.937,22,0.056,0.6,0.222,0.1,0.0,0.1,0.0,0.3,0.222,0.5,0.3,0.1,0.4,0.3,2025,Isolation,defensive
22024,1641757,Jordan Miller,1610612746,LAC,LA Clippers,Isolation,Defensive,0.937,24,0.079,0.6,0.429,0.0,0.3,0.0,0.0,0.3,0.429,0.4,0.3,0.1,0.3,0.2,2025,Isolation,defensive
22024,1641741,Ricky Council IV,1610612755,PHI,Philadelphia 76ers,Isolation,Defensive,0.961,62,0.037,0.538,0.182,0.231,0.0,0.231,0.077,0.308,0.182,0.2,0.1,0.0,0.2,0.1,2025,Isolation,defensive
22024,1629011,Mitchell Robinson,1610612752,NYK,New York Knicks,Isolation,Defensive,0.919,14,0.074,0.636,0.25,0.182,0.091,0.182,0.0,0.364,0.313,0.8,0.5,0.1,0.6,0.4,2025,Isolation,defensive
22024,1630544,Tre Mann,1610612766,CHA,Charlotte Hornets,Isolation,Defensive,0.919,13,0.101,0.636,0.25,0.182,0.091,0.182,0.0,0.364,0.313,0.8,0.5,0.2,0.6,0.5,2025,Isolation,defensive
22024,1629012,Collin Sexton,1610612762,UTA,Utah Jazz,Isolation,Defensive,0.953,59,0.033,0.571,0.222,0.143,0.214,0.143,0.0,0.286,0.278,0.2,0.1,0.0,0.2,0.1,2025,Isolation,defensive
22024,1627742,Brandon Ingram,1610612740,NOP,New Orleans Pelicans,Isolation,Defensive,0.832,18,0.077,0.727,0.333,0.182,0.273,0.182,0.0,0.364,0.417,0.6,0.4,0.1,0.3,0.2,2025,Isolation,defensive
22024,1631119,Jaylin Williams,1610612760,OKC,Oklahoma City Thunder,Isolation,Defensive,0.726,44,0.026,0.8,0.3,0.0,0.0,0.0,0.0,0.3,0.4,0.2,0.2,0.1,0.2,0.2,2025,Isolation,defensive
22024,1630215,Jared Butler,1610612764,WAS,Washington Wizards,Isolation,Defensive,0.726,27,0.08,0.8,0.167,0.4,0.0,0.4,0.0,0.5,0.167,0.4,0.3,0.0,0.2,0.2,2025,Isolation,defensive
22024,1628420,Monte Morris,1610612756,PHX,Phoenix Suns,Isolation,Defensive,0.937,37,0.084,0.6,0.286,0.0,0.067,0.0,0.0,0.267,0.321,0.4,0.2,0.1,0.4,0.3,2025,Isolation,defensive
22024,200768,Kyle Lowry,1610612755,PHI,Philadelphia 76ers,Isolation,Defensive,0.872,34,0.075,0.692,0.333,0.077,0.231,0.077,0.0,0.308,0.389,0.4,0.3,0.1,0.3,0.2,2025,Isolation,defensive
22024,202704,Reggie Jackson,1610612755,PHI,Philadelphia 76ers,Isolation,Defensive,0.802,27,0.085,0.75,0.4,0.0,0.167,0.0,0.0,0.333,0.45,0.4,0.3,0.1,0.4,0.2,2025,Isolation,defensive
22024,1641854,Craig Porter Jr.,1610612739,CLE,Cleveland Cavaliers,Isolation,Defensive,0.686,35,0.056,0.818,0.3,0.182,0.0,0.091,0.091,0.364,0.3,0.3,0.3,0.1,0.3,0.2,2025,Isolation,defensive
22024,1627732,Ben Simmons,1610612751,BKN,Brooklyn Nets,Isolation,Defensive,0.99,33,0.105,0.385,0.15,0.077,0.154,0.077,0.0,0.192,0.175,0.8,0.3,0.1,0.6,0.5,2025,Isolation,defensive
22024,1629723,John Konchar,1610612763,MEM,Memphis Grizzlies,Isolation,Defensive,0.778,39,0.065,0.769,0.556,0.077,0.231,0.077,0.0,0.385,0.556,0.3,0.3,0.1,0.2,0.1,2025,Isolation,defensive
22024,1630288,Jeff Dowtin Jr.,1610612755,PHI,Philadelphia 76ers,Isolation,Defensive,0.662,35,0.064,0.833,0.429,0.25,0.25,0.25,0.083,0.417,0.429,0.3,0.3,0.1,0.2,0.1,2025,Isolation,defensive
22024,203957,Dante Exum,1610612742,DAL,Dallas Mavericks,Isolation,Defensive,0.295,20,0.087,1.0,0.5,0.2,0.2,0.2,0.0,0.5,0.5,0.5,0.5,0.2,0.3,0.2,2025,Isolation,defensive
22024,1631243,Mouhamed Gueye,1610612737,ATL,Atlanta Hawks,Isolation,Defensive,0.93,30,0.117,0.611,0.333,0.111,0.278,0.111,0.056,0.278,0.375,0.6,0.4,0.1,0.4,0.3,2025,Isolation,defensive
22024,1642272,Jared McCain,1610612755,PHI,Philadelphia 76ers,Isolation,Defensive,0.88,22,0.077,0.688,0.273,0.188,0.125,0.188,0.0,0.375,0.273,0.7,0.5,0.1,0.5,0.4,2025,Isolation,defensive
22024,1630560,Cam Thomas,1610612751,BKN,Brooklyn Nets,Isolation,Defensive,0.621,25,0.061,0.846,0.5,0.0,0.231,0.0,0.0,0.385,0.55,0.5,0.4,0.2,0.4,0.2,2025,Isolation,defensive
22024,1626166,Cameron Payne,1610612752,NYK,New York Knicks,Isolation,Defensive,0.854,66,0.053,0.706,0.357,0.059,0.118,0.059,0.0,0.353,0.357,0.3,0.2,0.1,0.2,0.1,2025,Isolation,defensive
22024,1631093,Jaden Ivey,1610612765,DET,Detroit Pistons,Isolation,Defensive,0.802,30,0.05,0.75,0.385,0.063,0.125,0.063,0.0,0.375,0.385,0.5,0.4,0.2,0.4,0.3,2025,Isolation,defensive
22024,1630243,Trevelin Queen,1610612753,ORL,Orlando Magic,Isolation,Defensive,0.802,23,0.09,0.75,0.3,0.188,0.188,0.188,0.0,0.375,0.35,0.7,0.5,0.1,0.4,0.3,2025,Isolation,defensive
22024,1641715,Cam Whitmore,1610612745,HOU,Houston Rockets,Isolation,Defensive,0.603,45,0.066,0.857,0.4,0.214,0.071,0.214,0.0,0.5,0.45,0.3,0.3,0.1,0.2,0.1,2025,Isolation,defensive
22024,1630529,Herbert Jones,1610612740,NOP,New Orleans Pelicans,Isolation,Defensive,0.157,20,0.049,1.091,0.333,0.273,0.091,0.273,0.182,0.364,0.444,0.6,0.6,0.2,0.5,0.3,2025,Isolation,defensive
22024,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,Isolation,Defensive,0.995,70,0.063,0.325,0.091,0.1,0.075,0.075,0.0,0.175,0.106,0.6,0.2,0.0,0.5,0.4,2025,Isolation,defensive
22024,1629630,Ja Morant,1610612763,MEM,Memphis Grizzlies,Isolation,Defensive,0.984,50,0.065,0.406,0.1,0.188,0.188,0.156,0.0,0.25,0.125,0.6,0.3,0.0,0.4,0.4,2025,Isolation,defensive
22024,1628998,Cody Martin,1610612766,CHA,Charlotte Hornets,Isolation,Defensive,0.963,39,0.073,0.52,0.227,0.08,0.04,0.08,0.0,0.28,0.227,0.6,0.3,0.1,0.6,0.4,2025,Isolation,defensive
22024,1626158,Richaun Holmes,1610612764,WAS,Washington Wizards,Isolation,Defensive,0.885,28,0.074,0.684,0.333,0.053,0.211,0.053,0.053,0.263,0.433,0.7,0.5,0.2,0.5,0.4,2025,Isolation,defensive
22024,202709,Cory Joseph,1610612753,ORL,Orlando Magic,Isolation,Defensive,0.838,40,0.087,0.722,0.357,0.111,0.167,0.111,0.056,0.333,0.357,0.5,0.3,0.1,0.4,0.2,2025,Isolation,defensive
22024,202695,Kawhi Leonard,1610612746,LAC,LA Clippers,Isolation,Defensive,0.583,37,0.046,0.867,0.444,0.2,0.2,0.2,0.0,0.467,0.444,0.4,0.4,0.1,0.2,0.1,2025,Isolation,defensive
22024,1641706,Brandon Miller,1610612766,CHA,Charlotte Hornets,Isolation,Defensive,0.583,27,0.051,0.867,0.333,0.267,0.0,0.267,0.067,0.467,0.333,0.6,0.5,0.1,0.4,0.3,2025,Isolation,defensive
22024,1629626,Bol Bol,1610612756,PHX,Phoenix Suns,Isolation,Defensive,0.471,30,0.092,0.929,0.333,0.143,0.0,0.143,0.0,0.429,0.417,0.5,0.4,0.1,0.4,0.3,2025,Isolation,defensive
